alchl_p_2_asr, lga_name, lga_code, hbld_pres_2_asr, ste_name, frt_intk_2_asr, ovrwgt_p_2_asr, lw_excse_2_asr, psych_dstrs_2_asr, smkrs_p_2_asr, obese_p_2_asr, wst_meas_p_2_asr
24.9,"Alpine (S)",20110,22.0,"vic",46.6,36.0,71.5,10.1,19.0,34.1,65.7
18.3,"Ararat (RC)",20260,20.5,"vic",46.0,35.7,72.8,13.2,20.8,32.6,67.9
17.7,"Ballarat (C)",20570,24.0,"vic",46.3,35.6,67.4,14.7,18.0,33.8,66.4
16.6,"Banyule (C)",20660,21.5,"vic",49.5,38.6,62.0,10.7,13.8,22.9,59.8
17.8,"Bass Coast (S)",20740,17.7,"vic",47.4,35.9,66.7,13.3,21.9,31.0,64.4
17.3,"Baw Baw (S)",20830,22.6,"vic",47.4,34.9,70.1,12.4,19.6,32.7,67.4
20.5,"Bayside (C)",20910,16.6,"vic",50.6,38.4,55.2,7.3,11.1,17.7,54.3
17.5,"Benalla (RC)",21010,22.3,"vic",46.6,35.7,70.3,12.9,21.2,31.2,65.0
15.6,"Boroondara (C)",21110,19.3,"vic",51.9,38.6,54.6,7.3,8.8,14.5,52.1
8.6,"Brimbank (C)",21180,29.2,"vic",46.7,37.5,72.8,15.9,17.3,27.4,60.1
19.2,"Buloke (S)",21270,19.3,"vic",45.7,35.6,74.8,9.5,20.4,32.4,68.5
19.6,"Campaspe (S)",21370,20.6,"vic",46.4,35.3,72.4,13.9,21.7,33.0,66.9
15.9,"Cardinia (S)",21450,22.5,"vic",46.9,38.8,66.6,14.0,18.3,32.4,65.2
11.6,"Casey (C)",21610,25.0,"vic",48.2,38.4,69.7,14.9,16.9,32.2,63.2
16.9,"Central Goldfields (S)",21670,23.9,"vic",43.7,35.1,71.6,17.6,22.8,36.1,65.0
19.3,"Colac-Otway (S)",21750,24.6,"vic",46.6,35.5,72.4,12.3,20.7,31.3,66.7
21.3,"Corangamite (S)",21830,21.3,"vic",46.1,36.5,75.2,10.9,19.4,33.3,70.0
12.9,"Darebin (C)",21890,28.4,"vic",48.8,37.8,65.7,13.4,15.4,23.9,60.4
19.3,"East Gippsland (S)",22110,18.5,"vic",45.0,35.3,68.5,10.7,22.3,33.9,64.5
16.0,"Frankston (C)",22170,24.0,"vic",47.4,37.9,66.5,15.0,20.2,30.8,62.9
19.2,"Gannawarra (S)",22250,19.3,"vic",45.7,35.6,74.8,9.5,20.4,32.4,68.5
14.2,"Glen Eira (C)",22310,22.2,"vic",49.8,38.2,58.5,10.0,9.8,18.6,57.0
17.5,"Glenelg (S)",22410,33.7,"vic",46.4,36.5,73.5,10.9,22.6,32.5,66.8
21.1,"Golden Plains (S)",22490,23.6,"vic",47.8,36.4,69.8,12.3,17.5,35.4,67.2
18.3,"Greater Bendigo (C)",22620,21.6,"vic",47.0,35.4,68.3,14.5,18.1,34.2,65.4
6.5,"Greater Dandenong (C)",22670,29.5,"vic",46.5,36.9,73.4,16.7,16.4,26.3,59.3
17.3,"Greater Geelong (C)",22750,22.4,"vic",47.0,35.3,62.8,14.1,19.4,29.2,65.3
15.9,"Greater Shepparton (C)",22830,20.4,"vic",46.0,34.3,69.4,15.5,19.9,34.4,68.0
19.7,"Hepburn (S)",22910,16.9,"vic",48.0,35.8,67.9,12.9,18.7,33.3,64.8
18.9,"Hindmarsh (S)",22980,24.3,"vic",46.0,36.6,76.9,9.4,18.9,33.0,69.7
14.6,"Hobsons Bay (C)",23110,27.3,"vic",48.4,38.6,65.6,12.7,16.6,24.9,61.0
19.7,"Horsham (RC)",23190,23.5,"vic",45.9,34.4,70.0,10.3,16.1,32.2,66.9
9.8,"Hume (C)",23270,25.8,"vic",47.0,37.8,71.9,15.3,18.9,33.3,64.8
22.9,"Indigo (S)",23350,25.1,"vic",48.6,36.6,69.8,11.6,18.0,32.7,66.1
14.5,"Kingston (C)",23430,22.9,"vic",49.6,38.5,64.9,11.8,15.0,24.8,59.6
14.4,"Knox (C)",23670,22.9,"vic",48.9,38.4,65.9,11.6,14.3,24.5,58.7
14.7,"Latrobe (C)",23810,27.7,"vic",43.5,35.0,69.8,16.8,19.4,33.8,66.4
21.6,"Loddon (S)",23940,21.6,"vic",44.7,35.3,77.4,10.9,21.1,34.8,69.5
18.2,"Macedon Ranges (S)",24130,21.0,"vic",48.2,38.3,62.8,10.5,14.3,29.6,63.9
12.2,"Manningham (C)",24210,18.4,"vic",51.8,38.4,62.2,8.3,9.6,19.1,56.1
22.1,"Mansfield (S)",24250,24.7,"vic",47.1,35.0,65.2,8.7,18.0,33.9,64.0
12.1,"Maribyrnong (C)",24330,32.5,"vic",47.7,37.9,65.0,13.2,15.7,21.9,59.1
16.7,"Maroondah (C)",24410,23.7,"vic",49.7,38.3,64.6,12.2,15.0,26.3,62.3
16.0,"Melbourne (C)",24600,43.1,"vic",48.0,33.0,58.2,10.8,10.1,15.3,47.7
11.1,"Melton (S)",24650,23.9,"vic",47.8,38.8,68.5,15.5,17.8,35.6,67.0
17.1,"Mildura (RC)",24780,17.7,"vic",43.8,34.3,71.7,12.7,21.7,35.6,67.5
17.3,"Mitchell (S)",24850,22.4,"vic",46.5,36.5,68.8,13.6,20.6,33.6,65.8
18.9,"Moira (S)",24900,24.0,"vic",45.4,35.5,72.3,13.5,22.4,34.6,67.2
11.6,"Monash (C)",24970,20.3,"vic",50.5,37.4,64.7,10.1,10.2,19.7,56.5
14.9,"Moonee Valley (C)",25060,22.2,"vic",49.2,38.6,62.2,11.6,13.8,24.4,59.3
17.3,"Moorabool (S)",25150,21.9,"vic",47.2,37.8,67.6,13.1,18.5,35.1,65.3
13.2,"Moreland (C)",25250,31.7,"vic",48.7,38.0,64.4,13.2,14.3,24.2,62.0
18.9,"Mornington Peninsula (S)",25340,20.8,"vic",47.9,38.2,62.4,11.2,17.3,27.4,61.0
22.6,"Mount Alexander (S)",25430,18.6,"vic",45.6,35.6,67.1,12.8,18.3,32.1,62.8
23.1,"Moyne (S)",25490,24.1,"vic",46.9,37.4,76.3,9.0,18.2,34.3,71.9
21.4,"Murrindindi (S)",25620,21.3,"vic",47.3,37.0,69.6,12.3,19.8,32.7,65.1
18.0,"Nillumbik (S)",25710,22.9,"vic",50.2,39.5,57.6,8.8,12.1,22.8,60.1
18.4,"Northern Grampians (S)",25810,21.3,"vic",45.6,35.2,71.0,15.5,22.6,33.5,66.3
19.6,"Port Phillip (C)",25900,31.9,"vic",47.8,36.6,52.9,10.4,12.4,17.4,55.4
19.7,"Pyrenees (S)",25990,20.9,"vic",44.3,36.0,73.0,14.7,22.0,35.6,66.3
18.4,"Queenscliffe (B)",26080,15.9,"vic",48.7,36.5,61.7,9.7,12.8,26.5,66.7
24.1,"South Gippsland (S)",26170,27.6,"vic",47.6,36.1,71.8,11.2,19.2,31.2,67.9
20.1,"Southern Grampians (S)",26260,24.0,"vic",47.6,35.9,71.7,10.6,18.0,29.3,67.8
18.6,"Stonnington (C)",26350,24.7,"vic",50.5,37.4,52.5,8.5,10.3,15.5,52.6
22.7,"Strathbogie (S)",26430,18.7,"vic",47.0,35.5,71.7,11.7,20.0,35.1,66.0
21.7,"Surf Coast (S)",26490,17.5,"vic",49.1,36.4,61.9,9.7,16.0,27.3,65.3
19.9,"Swan Hill (RC)",26610,20.3,"vic",43.9,34.9,73.7,10.9,22.5,33.0,70.4
27.6,"Towong (S)",26670,20.6,"vic",46.9,36.2,70.3,8.4,18.1,32.9,66.0
21.1,"Wangaratta (RC)",26700,24.5,"vic",46.6,35.0,69.2,13.6,17.4,32.6,66.1
16.7,"Warrnambool (C)",26730,21.4,"vic",46.7,35.5,67.3,12.9,17.6,32.5,65.7
19.5,"Wellington (S)",26810,22.5,"vic",46.0,35.1,71.1,13.2,19.9,34.8,67.6
18.9,"West Wimmera (S)",26890,24.3,"vic",46.0,36.6,76.9,9.3,18.9,33.0,69.7
13.4,"Whitehorse (C)",26980,23.0,"vic",51.0,37.7,63.0,9.8,10.8,19.5,56.4
10.0,"Whittlesea (C)",27070,24.1,"vic",48.1,38.5,70.2,15.0,16.1,30.8,64.2
16.7,"Wodonga (RC)",27170,25.1,"vic",46.5,35.2,66.9,14.3,19.0,34.8,68.6
11.0,"Wyndham (C)",27260,22.0,"vic",49.3,38.9,68.1,14.8,15.7,31.5,66.6
21.3,"Yarra (C)",27350,36.4,"vic",48.3,37.0,56.8,10.7,13.7,16.3,52.7
19.8,"Yarra Ranges (S)",27450,23.7,"vic",48.6,38.5,63.1,12.2,17.5,27.1,61.8
18.9,"Yarriambiack (S)",27630,24.3,"vic",46.0,36.6,76.9,9.4,18.9,33.0,69.7
null,"Unincorporated Vic",29399,null,"vic",null,null,null,null,null,null,null
